Employee ID,Name,Phone Number,Email,Position,Dealership ID
1,James Carter,214-555-1001,jcarter@dealership.com,Manager,1
2,Maria Lopez,214-555-1002,mlopez@dealership.com,Salesperson,1
3,Kevin Brown,214-555-1003,kbrown@dealership.com,Mechanic,1
4,Sarah Kim,512-555-2001,skim@dealership.com,Manager,2
5,David Nguyen,512-555-2002,dnguyen@dealership.com,Salesperson,2
6,Ashley Turner,512-555-2003,aturner@dealership.com,Mechanic,2
7,Robert Johnson,713-555-3001,rjohnson@dealership.com,Manager,3
8,Emily Davis,713-555-3002,edavis@dealership.com,Salesperson,3
9,Michael Wright,713-555-3003,mwright@dealership.com,Mechanic,3
10,Jessica Patel,214-555-1004,jpatel@dealership.com,Salesperson,1
11,Elijah Carter,512-555-3929,ecarter@dealership.com,Salesperson,2
12,Ellie Ortiz,214-555-5114,eortiz@dealership.com,Service Advisor,1
13,Asher Price,214-555-9016,aprice@dealership.com,Salesperson,1
14,Easton Cox,512-555-7127,ecox@dealership.com,Lot Attendant,2
15,Genesis Martin,210-555-3932,gmartin@dealership.com,Lot Attendant,4
16,Lydia Hernandez,214-555-8684,lhernandez@dealership.com,Mechanic,1
17,Harper Wright,214-555-7966,hwright@dealership.com,Salesperson,1
18,Christopher Hernandez,210-555-9497,chernandez@dealership.com,Receptionist,4
19,Cameron Morris,214-555-6857,cmorris@dealership.com,Salesperson,1
20,Aurora Sullivan,210-555-3910,asullivan@dealership.com,Parts Specialist,4
21,Miles Thompson,214-555-2798,mthompson@dealership.com,Salesperson,1
22,Wyatt Price,210-555-2329,wprice@dealership.com,Parts Specialist,4
23,Luca Lopez,512-555-6075,llopez@dealership.com,Service Advisor,2
24,Madeline Nelson,512-555-9575,mnelson@dealership.com,Mechanic,2
25,Ella Bennett,512-555-8257,ebennett@dealership.com,Salesperson,2
26,Elijah Ortiz,512-555-6796,eortiz90@dealership.com,Mechanic,2
27,Ella Taylor,512-555-7689,etaylor@dealership.com,Salesperson,2
28,Hannah Jackson,713-555-3853,hjackson@dealership.com,Parts Specialist,3
29,Lucas Jackson,512-555-6228,ljackson@dealership.com,Lot Attendant,2
30,Willow Allen,214-555-6926,wallen@dealership.com,Salesperson,1
31,Sofia Rogers,713-555-1182,srogers@dealership.com,Finance Advisor,3
32,Abigail Baker,512-555-7176,abaker@dealership.com,Mechanic,2
33,Benjamin Roberts,210-555-7078,broberts@dealership.com,Finance Advisor,4
34,Claire Jones,713-555-7530,cjones@dealership.com,Lot Attendant,3
35,Maya Flores,512-555-6089,mflores@dealership.com,Salesperson,2
36,Eliana Ramirez,512-555-7284,eramirez@dealership.com,Salesperson,2
37,Victoria Edwards,210-555-5197,vedwards@dealership.com,Salesperson,4
38,Adeline Price,713-555-8816,aprice70@dealership.com,Salesperson,3
39,Ariana Collins,713-555-7706,acollins@dealership.com,Parts Specialist,3
40,Easton Lee,713-555-7208,elee@dealership.com,Service Advisor,3
41,Landon Watson,210-555-4186,lwatson@dealership.com,Mechanic,4
42,Everly Hall,214-555-6821,ehall@dealership.com,Service Advisor,1
43,Paisley Cruz,512-555-5275,pcruz@dealership.com,Service Advisor,2
44,Willow Turner,713-555-7551,wturner@dealership.com,Salesperson,3
45,Theodore Reed,512-555-1021,treed@dealership.com,Finance Advisor,2
46,Savannah Morgan,210-555-4363,smorgan@dealership.com,Salesperson,4
47,Ethan Morris,713-555-4281,emorris@dealership.com,Service Advisor,3
48,Zoey Flores,214-555-1523,zflores@dealership.com,Parts Specialist,1
49,Ethan Hill,713-555-5836,ehill@dealership.com,Salesperson,3
50,Riley Phillips,210-555-3822,rphillips@dealership.com,Salesperson,4
51,Sadie Taylor,512-555-8316,staylor@dealership.com,Receptionist,2
52,Rylee Torres,512-555-6895,rtorres@dealership.com,Salesperson,2
53,Cora Morris,210-555-4009,cmorris63@dealership.com,Finance Advisor,4
54,Jeremiah Nguyen,512-555-2224,jnguyen@dealership.com,Finance Advisor,2
55,Levi Peterson,214-555-2881,lpeterson@dealership.com,Mechanic,1
56,Isaac Martinez,713-555-1064,imartinez@dealership.com,Finance Advisor,3
57,Christopher Scott,214-555-6227,cscott@dealership.com,Mechanic,1
58,Savannah Moore,214-555-7508,smoore@dealership.com,Salesperson,1
59,Alexa Morgan,512-555-5786,amorgan@dealership.com,Salesperson,2
60,Jack Davis,210-555-4761,jdavis@dealership.com,Lot Attendant,4
61,Eleanor Rivera,512-555-5469,erivera@dealership.com,Salesperson,2
62,Vivian Martinez,512-555-3844,vmartinez@dealership.com,Service Advisor,2
63,Angel Reed,214-555-2860,areed@dealership.com,Service Advisor,1
64,Stella Martin,214-555-1542,smartin@dealership.com,Lot Attendant,1
65,Robert Carter,512-555-6798,rcarter@dealership.com,Receptionist,2
66,Willow Wood,512-555-6572,wwood@dealership.com,Lot Attendant,2
67,Alexa Brooks,210-555-4080,abrooks@dealership.com,Mechanic,4
68,Lily Jackson,210-555-9540,ljackson95@dealership.com,Receptionist,4
69,Willow Carter,214-555-4856,wcarter@dealership.com,Finance Advisor,1
70,Landon Hernandez,512-555-3727,lhernandez58@dealership.com,Mechanic,2
71,Eliana Cox,214-555-7496,ecox4@dealership.com,Mechanic,1
72,Violet Taylor,214-555-5679,vtaylor@dealership.com,Lot Attendant,1
73,Adeline Nguyen,214-555-9068,anguyen@dealership.com,Mechanic,1
74,Sofia Garcia,713-555-3686,sgarcia@dealership.com,Service Advisor,3
75,Quinn Nelson,713-555-1566,qnelson@dealership.com,Mechanic,3
76,Madelyn Wood,512-555-9978,mwood@dealership.com,Salesperson,2
77,Ava Ortiz,713-555-7546,aortiz@dealership.com,Mechanic,3
78,Maya Thompson,210-555-1894,mthompson29@dealership.com,Salesperson,4
79,Allison Lee,214-555-8122,alee@dealership.com,Salesperson,1
80,Mia Sanchez,512-555-3944,msanchez@dealership.com,Service Advisor,2
81,Elizabeth Allen,512-555-8055,eallen@dealership.com,Salesperson,2
82,Dominic Jones,210-555-8311,djones@dealership.com,Salesperson,4
83,Maverick Robinson,713-555-8121,mrobinson@dealership.com,Salesperson,3
84,Easton Lopez,713-555-9224,elopez@dealership.com,Salesperson,3
85,Ryan Rivera,512-555-2645,rrivera@dealership.com,Mechanic,2
86,Anna Thompson,512-555-8789,athompson@dealership.com,Service Advisor,2
87,Elena Thompson,713-555-3749,ethompson@dealership.com,Service Advisor,3
88,Gabriel Bailey,214-555-4845,gbailey@dealership.com,Salesperson,1
89,Maya Price,210-555-7478,mprice@dealership.com,Finance Advisor,4
90,Sofia Walker,713-555-6309,swalker@dealership.com,Lot Attendant,3
91,Piper Cook,512-555-2589,pcook@dealership.com,Lot Attendant,2
92,Mia Jones,210-555-2018,mjones@dealership.com,Mechanic,4
